Cell line	Tissue Supergroup	Metastatic Tissue	Primary Tissue	Tissue Diagnosis	Age	Age Unit	Gender	Ethnicity	SNP Cluster Number	In Final Analysis Set	Growth Media	Freeze Media	CCLE ID	Sanger ID
IGR-37	Skin	NA	Skin	Melanoma	26	Years	Male	NA	65	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	IGR-37	NA
IGROV-1	Ovary	NA	Ovary	Carcinoma	47	Years	Female	NA	139	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	IGROV1	IGROV-1
IM-95	Stomach	NA	Stomach	Adenocarcinoma	NA	NA	NA	NA	34	TRUE	DMEM, 10% FBS, 10mg/L Insulin, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	IM95	NA
IM-95m	Stomach	NA	Stomach	Adenocarcinoma	63	Years	Male	Japanese	34	FALSE	DMEM, 10% FBS, 10mg/L Insulin, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
IMR-32	Brain	NA	Brain	Neuroblastoma	1	Years	Male	Caucasian	282	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	IMR-32	NA
IPC-298	Skin	NA	Skin	Melanoma	64	Years	Female	NA	604	TRUE	RPMI-1640 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	IPC-298	IPC-298
JEKO-1	Lymphoid	NA	Lymph Node	Lymphoma	78	Years	Female	NA	477	TRUE	RPMI-1640 , 10% HI FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	JeKo-1	NA
JHH-1	Liver	NA	Liver	Carcinoma Hepatocellular	NA	NA	NA	NA	64	TRUE	Williams Media E, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	JHH-1	NA
JHH-2	Liver	NA	Liver	Carcinoma Hepatocellular	NA	NA	NA	NA	161	TRUE	Williams Media E, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	JHH-2	NA
JHH-4	Liver	NA	Liver	Carcinoma Hepatocellular	NA	NA	NA	NA	63	TRUE	DMEM, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	JHH-4	NA
JHH-5	Liver	NA	Liver	Carcinoma Hepatocellular	50	Years	Male	NA	160	TRUE	Williams Media E, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	JHH-5	NA
JHH-7	Liver	NA	Liver	Carcinoma Hepatocellular	NA	NA	NA	NA	159	TRUE	RPMI-1640 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	JHH-7	NA
JIMT-1	Breast	Effusion, Pleural	Breast	Adenocarcinoma Ductal	62	Years	Female	NA	543	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	JIMT-1	NA
Jiyoye	Lymphoid	NA	Blood	Malignant Lymphoma - Burkitts Type	7	Years	Male	African	476	TRUE	RPMI-1640, 10% HI FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	JiyoyeP-2003
JJ012	Sarcomatoid	NA	Cartilage	Chondrosarcoma	NA	NA	NA	NA	271	TRUE	40%DMEM, 40%MEM, 10%F-12, 10% FBS, 100nM Hydrocortisone, 100ng/mL Insulin, 25ug/ml L-Ascorbic Acid	Complete growth medium, 90%; DMSO, 10%	NA	NA
JJN-3	Lymphoid	NA	Blood	Leukemia	NA	NA	NA	NA	369	TRUE	RPMI-1640, 10% Heat inactivated FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	JJN-3	NA
JL-1	Other	NA	Pleura	Mesothelioma	54	Years	Male	NA	15	TRUE	DMEM, 20% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	JL-1	NA
Jurkat, Clone E6-1	Lymphoid	NA	Blood	Leukemia Acute Lymphocytic	NA	NA	Male	NA	308	TRUE	RPMI-1640, 10% HI FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
K-562	Lymphoid	NA	Blood	Leukemia Chronic Myelogenic	NA	NA	NA	NA	307	TRUE	RPMI-1640, 10% HI FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	K-562	NA
KARPAS-1106P	Lymphoid	NA	Lymph Node	Lymphoma B-cell	23	Years	NA	NA	475	TRUE	RPMI-1640, 20% HI FBS, 2mM Glutamine	RPMI-1640 70% 20% HI FBS, DMSO, 10%	NA	NA
KARPAS-422	Lymphoid	NA	Blood	Lymphoma Non-Hodgkins	NA	NA	NA	NA	474	TRUE	RPMI-1640 10% HI FBS, 2mM Glutamine	HI FBS, 90%; DMSO, 10%	KARPAS-422	KARPAS-422
KARPAS-620	Lymphoid	NA	Blood	Leukemia	77	Years	Female	NA	350	TRUE	RPMI-1640, 10% HI FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	KARPAS-620	NA
Kasumi-1	Lymphoid	NA	Blood	Leukemia Acute Myelogenic	NA	NA	NA	NA	13	TRUE	RPMI-1640, 10% HI FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	KASUMI-1	KASUMI-1
KATO III	Stomach	NA	Stomach	Carcinoma	NA	NA	NA	NA	220	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	KATO III	KATOIII
KCI-MOH1	Pancreas	NA	Pancreas	Adenocarcinoma	74	Years	Male	African	322	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	KCI-MOH1	NA
KELLY	Brain	NA	Brain	Neuroblastoma	NA	NA	NA	NA	281	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	KELLY	NA
KG-1	Lymphoid	NA	Blood	Leukemia	NA	NA	NA	NA	580	TRUE	RPMI-1640, 10% HI FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	KG-1	NA
KHM-1B	Lymphoid	NA	Blood	Multiple Myeloma	NA	NA	NA	NA	309	TRUE	RPMI-1640, 10% HI FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	KHM-1B	NA
KLE	Uterus	NA	Uterus	Adenocarcinoma	64	Years	Female	Caucasian	105	TRUE	DMEM:F12, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	KLE	NA
KLM-1	Pancreas	NA	Pancreas	Carcinoma	NA	NA	NA	NA	321	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	KLM-1	NA
KM-12	Colo-Rectal	NA	Colon	Adenocarcinoma	NA	NA	NA	NA	522	TRUE	RPMI-1640 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	KM12	KM12
KMM-1	Lymphoid	NA	Blood	Multiple Myeloma	62	Years	Male	Japanese	364	TRUE	RPMI-1640, 10% Heat inactivated FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	KMM-1	NA
KMS-11	Lymphoid	NA	Blood	Multiple Myeloma	NA	NA	NA	NA	359	TRUE	RPMI-1640, 10% HI FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	KMS-11	NA
KMS-12-BM	Lymphoid	NA	Blood	Multiple Myeloma	64	Years	Female	NA	353	TRUE	RPMI-1640, 10% Heat inactivated FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	KMS-12-BM	KMS-12-BM
KMS-12-PE	Lymphoid	NA	Bone Marrow	Multiple Myeloma	64	Years	Female	NA	353	FALSE	RPMI-1640, 20% Heat inactivated FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	KMS-12-PE
KMS-21BM	Lymphoid	NA	Blood	Multiple Myeloma	62	Years	Male	Japanese	383	TRUE	RPMI-1640, 10% Heat inactivated FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	KMS-21BM	NA
KMS-26	Lymphoid	NA	Blood	Multiple Myeloma	NA	NA	NA	NA	310	TRUE	RPMI-1640, 10% Heat Inactivated FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	KMS-26	NA
KMS-27	Lymphoid	NA	Blood	Multiple Myeloma	52	Years	Male	Japanese	349	TRUE	RPMI-1640, 10% Heat inactivated FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	KMS-27	NA
KMS-28BM	Lymphoid	Bone Marrow	Blood	Multiple Myeloma	77	Years	Female	Japanese	381	TRUE	RPMI-1640, 10% Heat inactivated FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	KMS-28BM	NA
KMS-28PE	Lymphoid	Pleura	Blood	Multiple Myeloma	77	Years	Female	Japanese	381	FALSE	RPMI-1640, 10% Heat inactivated FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
KMS-34	Lymphoid	Pleura	Blood	Multiple Myeloma	60	Years	Female	Japanese	380	TRUE	RPMI-1640, 10% Heat inactivated FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	KMS-34	NA
KNS-62	Lung	NA	Lung	Carcinoma Non-Small Cell	49	Years	Male	NA	501	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	KNS-62	KNS-62
KP-2	Pancreas	NA	Pancreas	Carcinoma	NA	NA	NA	NA	320	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	KP-2	NA
KP-3	Pancreas	NA	Pancreas	Carcinoma Adenosquamous	75	Years	Male	Japanese	319	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	KP-3	NA
KP4	Pancreas	NA	Pancreas	Carcinoma In Situ Ductal	50	Years	Male	NA	420	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	90% Complete Growth Media; 10% DMSO	KP4	KP-4
KPL-1	Breast	NA	Breast	Adenocarcinoma Ductal	NA	NA	Female	NA	541	FALSE	DMEM, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	KPL-1	NA
KPL-4	Breast	Effusion, Pleural	Breast	Adenocarcinoma Ductal	52	Years	Female	Japanese	542	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
KU812	Lymphoid	NA	Blood	Leukemia Acute Myelogenic	NA	NA	NA	NA	62	TRUE	RPMI-1640, 10% Heat Inactivated FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	KU812	NA
KURAMOCHI	Ovary	NA	Ovary	Carcinoma	NA	NA	NA	NA	50	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	KURAMOCHI	KURAMOCHI
KYSE-140	Head-Neck	NA	Esophagus	Carcinoma Squamous Cell	50	Years	Male	Japanese	32	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	KYSE-140	KYSE-140
KYSE-150	Head-Neck	NA	Esophagus	Carcinoma Squamous Cell	49	Years	Female	Japanese	27	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	KYSE-150	KYSE-150
KYSE-180	Head-Neck	NA	Esophagus	Carcinoma Squamous Cell	53	Years	Male	Japanese	39	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	KYSE-180	KYSE-180
KYSE-270	Head-Neck	NA	Esophagus	Carcinoma Squamous Cell	79	Years	Male	Japanese	35	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	KYSE-270	KYSE-270
KYSE-30	Head-Neck	NA	Esophagus	Carcinoma Squamous Cell	64	Years	Male	Japanese	46	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	KYSE-30	NA
KYSE-450	Head-Neck	NA	Esophagus	Carcinoma Squamous Cell	59	Years	Male	Japanese	33	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	KYSE-450	KYSE-450
KYSE-510	Head-Neck		Esophagus	Carcinoma Squamous Cell	67	Years	Female	Japanese	26	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	KYSE-510	KYSE-510
KYSE-520	Head-Neck	NA	Esophagus	Carcinoma Squamous Cell	58	Years	Female	Japanese	42	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	KYSE-520	KYSE-520
KYSE-70	Head-Neck	NA	Esophagus	Carcinoma Squamous Cell	77	Years	Male	Japanese	49	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	KYSE-70	KYSE-70
L-363	Lymphoid	NA	Blood	Leukemia	NA	NA	NA	NA	379	TRUE	RPMI-1640, 10% Heat Inactivated FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	L-363	L-363
LCLC-103H	Lung	NA	Lung	Carcinoma Large Cell	61	Years	Male	Caucasian	236	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	LCLC-103H	LCLC-103H
LCLC-97TM1	Lung	NA	Lung	Carcinoma Large Cell	44	Years	Male	Caucasian	150	TRUE	RPMI-1640, 20% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	LCLC-97TM1	LCLC-97TM1
LN-18	Brain	NA	Brain	Glioma	NA	NA	NA	NA	280	TRUE	DMEM, 10% FBS, 2mM L-Glutamine	90% FBS; 10% DMSO	LN-18	NA
LN-229	Brain	NA	Brain	Glioma	NA	NA	NA	NA	279	TRUE	DMEM, 10% FBS, 2mM L-Glutamine	90% FBS; 10% DMSO	LN-229	NA
LNCAP	Other	NA	Prostate	Carcinoma	50	Years	Male	Caucasian	202	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	LNCaP clone FGC	LNCaP-Clone-FGC
LOU-NH91	Lung	NA	Lung	Carcinoma Squamous Cell	64	Years	Female	NA	94	TRUE	RPMI-1640 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	LOU-NH91	NA
LoVo	Colo-Rectal	NA	Colon	Adenocarcinoma	56	Years	Male	Caucasian	521	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	LoVo	LoVo
LOX-IMVI	Skin	NA	Skin	Melanoma	NA	NA	NA	NA	127	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	LOX IMVI	LOXIMVI
LP-1	Lymphoid	NA	Blood	Multiple Myeloma	56	Years	Female	NA	378	TRUE	RPMI-1640, 10% Heat inactivated FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	LP-1	LP-1
LS 174T	Colo-Rectal	NA	Colon	Adenocarcinoma	NA	NA	NA	NA	175	FALSE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	LS-174T
LS 180	Colo-Rectal	NA	Colon	Adenocarcinoma	58	Years	Female	Caucasian	175	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	90% FBS; 10% DMSO	LS 180	NA
LS1034	Colo-Rectal	NA	Cecum	Carcinoma	54	Years	NA	Caucasian	270	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	 90% FBS; 10% DMSO	LS1034	LS-1034
LXF-289	Lung	NA	Lung	Adenocarcinoma	63	Years	Male	NA	235	TRUE	Ham's F10, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	LXF-289	LXF-289
LXFL529	Lung	NA	Lung	Carcinoma Non-Small Cell	NA	NA	NA	NA	390	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
M059J	Brain	NA	Brain	Glioblastoma	33	Years	Male	NA	116	FALSE	DMEM/F12, 10% FBS, 2mM L-Glutamine, 15mM HEPES, 0.5mM Na.pyr, 1.2g/L NaHCO3, 0.5mM NEAA	Complete growth medium, 90%; DMSO, 10%	NA	M059J
M059K	Brain	NA	Brain	Glioblastoma	33	Years	Male	NA	116	TRUE	DMEM/F12, 10% FBS, 2mM L-Glutamine, 15mM HEPES, 0.5mM Na.pyr, 1.2g/L NaHCO3, 0.5mM NEAA	Complete growth medium, 90%; DMSO, 10%	M059K	NA
MC116	Lymphoid	Ascites	Lymph Node	Lymphoma	NA	NA	NA	NA	473	TRUE	RPMI-1640 20% HI FBS, 2mM Glutamine	Complete growth medium, 90%; DMSO, 10%	MC116	NA
MCAS	Ovary	NA	Ovary	Adenocarcinoma	NA	NA	NA	NA	51	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	MCAS	NA
MCF 10A	Breast	NA	Breast	Fibrocystic Disease	NA	NA	Female	Caucasian	177	TRUE	DMEM/F12, 2% Charcoal dextran treated FBS, 20ng/ml EGF, 0.01 mg/ml insulin, 500ng/ml Hydrocortisone	50% FBS, 40% complete media, 10% DMSO	NA	NA
MCF-7	Breast	Effusion, Pleural	Breast	Adenocarcinoma	40	Years	Female	Caucasian	541	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	MCF7	MCF7
MCF10DCIS.com	Breast	NA	Breast	Normal	NA	NA	NA	NA	177	FALSE	DMEM/F12, 2% Charcoal dextran treated FBS, 20ng/ml EGF, 0.01 mg/ml insulin, 500ng/ml Hydrocortisone	50% FBS, 40% complete media, 10% DMSO	NA	NA
MDA-MB-134-VI	Breast	NA	Breast	Carcinoma	47	Years	Female	Caucasian	334	TRUE	DMEM, 20% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	MDA-MB-134-VI	MDA-MB-134-VI
MDA-MB-157	Breast	Effusion, Pleural	Breast	Carcinoma Medullary	44	Years	Female	African	540	TRUE	DMEM, 20%FBS, 2mM L-glutamine	Complete growth medium, 90%; DMSO, 10%	MDA-MB-157	MDA-MB-157
MDA-MB-175-VII	Breast	NA	Breast	Adenocarcinoma Ductal	56	Years	Female	African	333	TRUE	DMEM, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	MDA-MB-175-VII	MDA-MB-175-VII
MDA-MB-231	Breast	Effusion, Pleural	Breast	Adenocarcinoma	51	Years	Female	Caucasian	539	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	MDA-MB-231	MDA-MB-231
MDA-MB-330	Breast	Effusion, Pleural	Breast	Carcinoma	43	Years	Female	Caucasian	538	TRUE	DMEM, 10% FBS, 2mM L-glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
MDA-MB-361	Breast	NA	Breast	Adenocarcinoma	NA	NA	NA	NA	332	TRUE	Leibovitz's L-15 Medium, 20% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	MDA-MB-361	MDA-MB-361
MDA-MB-415	Breast	NA	Breast	Adenocarcinoma	38	Years	Female	NA	537	TRUE	DMEM, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	MDA-MB-415	MDA-MB-415
MDA-MB-435	Skin	NA	Skin	Melanoma	NA	NA	NA	NA	400	TRUE	DMEM, 10% FBS, 2mM Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	MDA-MB-435
MDA-MB-436	Breast	Effusion, Pleural	Breast	Adenocarcinoma	43	Years	Female	Caucasian	536	TRUE	DMEM, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	MDA-MB-436	NA
MDA-MB-453	Breast	Effusion, Pericardial	Breast	Carcinoma	NA	NA	Female	Caucasian	535	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	MDA-MB-453	MDA-MB-453
MDA-MB-468	Breast	NA	Breast	Adenocarcinoma	51	Years	Female	African	331	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	MDA-MB-468	MDA-MB-468
MDST8	Colo-Rectal	NA	Colon	Carcinoma	NA	NA	NA	NA	520	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	MDST8	NA
ME-1	Lymphoid	NA	Bone Marrow	Leukemia Acute Myelogenic	40	Years	Male	Japanese	579	TRUE	RPMI-1640, 10% HI FBS, 2mM Glutamine	Complete growth medium, 90%; DMSO, 10%	ME-1	NA
ME-180	Cervix	NA	Cervix	Carcinoma	66	Years	Female	Caucasian	267	TRUE	DMEM, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	ME-180
MEL-HO	Skin	NA	Skin	Melanoma	NA	NA	Female	NA	603	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	MEL-HO	MEL-HO
MeWo	Skin	NA	Skin	Melanoma	78	Years	Male	Caucasian	126	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	MeWo	Mewo
MFM-223	Breast	Effusion, Pleural	Breast	Adenocarcinoma Ductal	NA	NA	Female	NA	534	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	MFM-223
MG-63	Sarcomatoid	NA	Bone	Osteosarcoma	14	Years	Male	Caucasian	302	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	MG-63	MG-63
MHH-ES-1	Sarcomatoid	NA	Bone	Sarcoma Ewings	12	Years	Male	Caucasian	301	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	90% FBS; 10% DMSO	MHH-ES-1	MHH-ES-1
MHH-NB-11	Brain	NA	Brain	Neuroblastoma	4	Years	Male	Caucasian	214	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	MHH-NB-11	MHH-NB-11
MHH-PREB-1	Lymphoid	NA	Lymph Node	Lymphoma B-cell	6	Years	Male	Caucasian	472	TRUE	RPMI-1640, 10% HI FBS, 2mM Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	MHH-PREB-1
MIA Paca-2	Pancreas	NA	Pancreas	Carcinoma	65	Years	Male	Caucasian	419	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	90% FBS; 10% DMSO	MIA PaCa-2	MIA-PaCa-2
MKN-1	Stomach	NA	Stomach	Carcinoma Adenosquamous	72	Years	Male	NA	591	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	MKN1	MKN1
MKN-45	Stomach	NA	Stomach	Adenocarcinoma	62	Years	Female	NA	514	FALSE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	MKN-45	MKN45
MKN-7	Stomach	NA	Stomach	Adenocarcinoma Tubular	39	Years	Male	NA	6	TRUE	RPMI-1640 10% FBS, 2mM L-Gln	Complete growth medium, 90%; DMSO, 10%	MKN7	MKN7
MKN-74	Stomach	NA	Stomach	Adenocarcinoma	37	Years	Male	Japanese	590	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	MKN74	NA
ML-2	Lymphoid	NA	Bone Marrow	Leukemia Acute Myelogenic	26	Years	Male	NA	299	TRUE	RPMI-1640, 10% HI FBS, 2mM Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	ML-2
MM.1S	Lymphoid	NA	Blood	Multiple Myeloma	42	Years	Female	African	377	TRUE	#N/A	#N/A	MM1-S	NA
MOLM-16	Lymphoid	NA	Blood	Leukemia Acute Myelogenic	NA	NA	Female	Japanese	578	TRUE	RPMI-1640 10% HI FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	MOLM-16	NA
MOLP-2	Lymphoid	NA	Blood	Multiple Myeloma	55	Years	Male	NA	348	TRUE	RPMI-1640, 10% Heat inactivated FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	MOLP-2	NA
MOLP-8	Lymphoid	NA	Blood	Multiple Myeloma	52	Years	Male	Japanese	376	TRUE	RPMI-1640, 10% Heat inactivated FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	MOLP-8	NA
MOR	Lung	NA	Lung	Adenocarcinoma	NA	NA	NA	NA	186	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	MOR/CPR	NA
MS751	Cervix	NA	Cervix	Carcinoma	47	Years	Female	Caucasian	266	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
MT-3	Breast	NA	Breast	Carcinoma	NA	NA	NA	NA	175	FALSE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
MV-4-11	Lymphoid	NA	Blood	Leukemia Acute Myelogenic	10	Years	Male	NA	577	TRUE	RPMI-1640, 10% HI FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	MV-4-11	NA
MX-1	Breast	NA	Breast	Carcinoma	NA	NA	NA	NA	330	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
NALM-6	Lymphoid	NA	Blood	Leukemia	NA	NA	NA	NA	306	TRUE	RPMI-1640, 10% HI FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NALM-6	NALM-6
NAMALWA	Lymphoid	NA	Blood	Malignant Lymphoma - Burkitts Type	NA	NA	NA	NA	471	TRUE	RPMI-1640, 10% HI FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NAMALWA	NA
NCI-H1048	Lung	Effusion, Pleural	Lung	Carcinoma Small Cell	NA	NA	Female	NA	500	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NCI-H1048	NCI-H1048
NCI-H1092	Lung	NA	Lung	Carcinoma Small Cell	67	Years	Male	Caucasian	3	TRUE	HITES, 5% FBS	Complete growth medium, 90%; DMSO, 10%	NCI-H1092	NCI-H1092
NCI-H1155	Lung	NA	Lung	Carcinoma Non-Small Cell	36	Years	Male	Caucasian	208	FALSE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NCI-H1155	NCI-H1155
NCI-H1299	Lung	NA	Lung	Carcinoma Non-Small Cell	43	Years	Male	Caucasian	388	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NCI-H1299	NCI-H1299
NCI-H1355	Lung	Pleura	Lung	Adenocarcinoma	53	Years	Male	Caucasian	507	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	FBS, 90%; DMSO, 10%	NCI-H1355	NCI-H1355
NCI-H1373	Lung	NA	Lung	Adenocarcinoma	56	Years	Male	African	506	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NCI-H1373	NA
